Métamodèle 1	Élément 1	Description Élément 1	Métamodèle 2	Élément 2	Description Élément 2	Correspondance
ER Diagram	One-to-Many Relationship	One entity is related to multiple others	OO Model	One-to-Many Association	One object is related to many others	1
ER Diagram	Many-to-Many Relationship	Many entities are related to many others	OO Model	Many-to-Many Association	Many objects are related to many others	1
ER Diagram	Entity	A person, place, thing, or event	OO Model	Class	Defines properties and methods of objects	1
ER Diagram	Composite Key	A key composed of multiple attributes	OO Model	Composite Key	A unique identifier composed of multiple fields	1
ER Diagram	Multivalued Attribute	An attribute that can have multiple values	OO Model	Collection Attribute	An attribute holding multiple values	1
UML	Class	A blueprint for creating objects	SysML	Block	A modular unit of structure	1
UML	Attribute	A property or characteristic of a class	SysML	Property	A characteristic of a block	1
UML	Operation	A function or method in a class	SysML	Operation	A behavior performed by a block	1
UML	Association	A relationship between classes	SysML	Connector	A relationship between blocks	1
UML	Generalization	A parent-child class relationship	SysML	Generalization	A hierarchy of blocks	1
UML	Composition	"A strong ""has-a"" relationship between classes"	SysML	Part Property	A block that is part of another block	1
UML	Aggregation	"A weak ""has-a"" relationship between classes"	SysML	Reference Association	A weak relationship between blocks	1
UML	Use Case	A functionality provided by the system	SysML	Requirement	A description of what the system must do	1
UML	State Machine Diagram	A diagram representing the state of a system	SysML	State Machine	A diagram representing system states and transitions	1
UML	Activity Diagram	A diagram for modeling workflows	SysML	Activity Diagram	A diagram showing system activities	1
UML	Component Diagram	A diagram showing system components	SysML	Internal Block Diagram	A diagram showing internal structure of a system	1
UML	Sequence Diagram	A diagram modeling object interactions over time	SysML	Sequence Diagram	A diagram showing interactions over time	1
UML	Deployment Diagram	A diagram showing the physical deployment of artifacts	SysML	Allocation	A mapping between components and their execution environment	1
UML	Object	An instance of a class	SysML	Instance	An instance of a block	1
UML	Dependency	A relationship where one element depends on another	SysML	Dependency	A relationship showing reliance between blocks	1
UML	Collaboration Diagram	A diagram showing interactions between objects	SysML	Interaction Diagram	A diagram showing interactions between parts	1
UML	Package	A container for grouping elements	SysML	Package	A container for grouping blocks	1
UML	Signal	An event that triggers a transition	SysML	Event	A stimulus that triggers behavior	1
UML	Interface	A contract that defines operations	SysML	Interface	A contract between blocks that defines interaction	1
UML	Actor	Represents a user or system interacting with the system	SysML	Actor	Represents a stakeholder or external system	1
ER Diagram	Entity	A real-world object or concept	JSON	Object	A collection of key-value pairs	1
ER Diagram	Attribute	A property or characteristic of an entity	JSON	Key-Value Pair	A property represented as a key-value pair	1
ER Diagram	Primary Key	A unique identifier for an entity	JSON	ID Field	A unique identifier field	1
ER Diagram	Relationship	A connection between two entities	JSON	Nested Object	A relationship represented by nesting objects	1
ER Diagram	Weak Entity	An entity dependent on another entity	JSON	Dependent Object	An object that relies on another object	1
ER Diagram	Composite Attribute	An attribute made up of multiple sub-attributes	JSON	Object with Fields	A complex object with multiple fields	1
ER Diagram	Multivalued Attribute	An attribute with multiple values	JSON	Array	A list or array of values	1
ER Diagram	Cardinality	Specifies the number of instances in a relationship	JSON	Array Size	The size of an array representing multiplicity	1
ER Diagram	Foreign Key	A reference to another entity	JSON	Reference Field	A field holding a reference to another object	1
ER Diagram	Entity	A person, place, thing, or event	JSON	Document	A JSON document representing a real-world entity	1
ER Diagram	Attribute	A property of an entity	JSON	Field	A key-value pair representing an attribute	1
ER Diagram	Relationship	A connection between entities	JSON	Reference	A field that references another document	1
ER Diagram	Many-to-Many Relationship	Many entities related to many others	JSON	Array of Objects	An array of nested objects representing multiple relationships	1
ER Diagram	Generalization	A hierarchy of entities	JSON	Inheritance	Objects extending other objects	1
JSON	Object	A collection of key-value pairs	XML	Element	A hierarchical node containing data	1
JSON	Array	A list of values	XML	Element	A collection of child elements	1
JSON	Key-Value Pair	A property-value combination	XML	Attribute	A name-value pair within an element	1
JSON	Nested Object	An object within another object	XML	Nested Element	An element within another element	1
JSON	String	A sequence of characters	XML	Text	Plain text inside an element	1
JSON	Number	A numerical value	XML	Text (Numeric Content)	A numerical value inside an element	1
JSON	Boolean	A true/false value	XML	Text (Boolean Content)	A boolean value inside an element	1
JSON	Null	Represents an empty or non-existent value	XML	Empty Element	An element with no content	1
JSON	Key	The name in a key-value pair	XML	Attribute Name	The name part of an attribute	1
JSON	Value	The data associated with a key	XML	Attribute Value	The value part of an attribute	1
JSON	Key-Value Pair	A property-value combination	XML	Element with Attribute	An element with an attribute	0
JSON	Object	A collection of key-value pairs	XML	Attribute	An attribute is not an object	0
JSON	Array	A list of values	XML	Attribute	An attribute cannot hold a list	0
JSON	Number	A numerical value	XML	Element	An element may contain text, not necessarily numeric	0
JSON	String	A sequence of characters	XML	Attribute	Attributes do not always represent strings	0
JSON	Boolean	A true/false value	XML	Attribute	Attributes are not inherently boolean	0
Key-Value Store	Key	A unique identifier for a value	Relational DB	Primary Key	A unique identifier for a record	1
Key-Value Store	Value	The data associated with a key	Relational DB	Field	A value stored in a table	1
Key-Value Store	Key-Value Pair	A single unit of storage	Relational DB	Row	A row in a table represents a single unit of storage	1
Key-Value Store	Collection	A set of key-value pairs	Relational DB	Table	A table containing rows (key-value pairs)	1
Key-Value Store	Value	Any data type	Relational DB	Data Type	A specific type for data in a field	1
Key-Value Store	Collection	A group of key-value pairs	Relational DB	Table	A table holding rows	1
Key-Value Store	Key	A string identifier	Relational DB	Foreign Key	A reference to a key in another table	0
Key-Value Store	Value	Stores any data type	Relational DB	Row	A row has fixed data types	0
Key-Value Store	Collection	A group of key-value pairs	Relational DB	Database Schema	A more structured schema than a key-value store	0
Key-Value Store	Key	Unique for the collection	Relational DB	Unique Constraint	Not all fields are unique	0
Key-Value Store	Value	Arbitrary data	Relational DB	Row	A row is not arbitrary but structured	0
Key-Value Store	Value	Can be binary data	Relational DB	Text	Text-based fields in most cases	0
Document Store	Document	A flexible structure holding data	Column Store	Column Family	A collection of related columns	1
Document Store	Field	A key-value pair in a document	Column Store	Column	A field in a column family	1
Document Store	Embedded Document	A document within a document	Column Store	Nested Column Family	A column family within another column family	1
Document Store	Collection	A set of documents	Column Store	Table	A set of columns grouped as a table	1
Document Store	Query	A method for retrieving documents	Column Store	Columnar Query	A query optimized for retrieving column-based data	1
Document Store	Index	A data structure to improve search	Column Store	Index	A data structure to speed up column searches	1
Document Store	Field	A key-value pair	Column Store	Column	Represents one field (column) in the store	1
Document Store	Document	A flexible object-like structure	Column Store	Row	Each row contains fields with values	0
Document Store	Collection	A group of documents	Column Store	Column Family	Column families do not hold entire documents	0
Document Store	Field	Unstructured field	Column Store	Column	Columns are structured by design	0
Document Store	Embedded Document	A document within another document	Column Store	Row	No nested rows in column store models	0
Document Store	Document	Semi-structured object	Column Store	Row	Rows have predefined columns	0
Document Store	Index	Speed up queries by indexing fields	Column Store	Column Index	Indexes are specific to columns, not full documents	0
ER Diagram	Entity	Represents a real-world object	Relational DB	Table	Represents data in a structured format	1
ER Diagram	Attribute	A property of an entity	Relational DB	Column	A field in a table representing an attribute	1
ER Diagram	Primary Key	Unique identifier for an entity	Relational DB	Primary Key	Unique identifier for a row in a table	1
ER Diagram	Relationship	A connection between entities	Relational DB	Foreign Key	A column linking one table to another	1
ER Diagram	Weak Entity	An entity that depends on another	Relational DB	Dependent Table	A table that depends on another for its existence	1
ER Diagram	Multivalued Attribute	Attribute with multiple values	Relational DB	Multicolumn Field	A field split into multiple columns	0
ER Diagram	Composite Attribute	Attribute made of multiple sub-attributes	Relational DB	Composite Key	A key composed of multiple columns	1
ER Diagram	Recursive Relationship	An entity related to itself	Relational DB	Self-referencing Foreign Key	A foreign key that points to the same table	1
ER Diagram	Derived Attribute	An attribute derived from others	Relational DB	Calculated Field	A field calculated from other fields	1
ER Diagram	Entity	A person, place, thing, or event	Relational DB	View	A virtual table representing data from one or more tables	0
ER Diagram	Generalization	A hierarchy of entities	Relational DB	Supertype/Subtype	A design pattern for handling entity hierarchies	1
ER Diagram	Relationship	A connection between entities	Relational DB	Join	A query that links two or more tables	1
Class Diagram	Class	A blueprint for creating objects	JSON	Object	A collection of key-value pairs	1
Class Diagram	Attribute	A property of a class	JSON	Key-Value Pair	A key-value pair representing a property	1
Class Diagram	Method	A behavior or operation	JSON	Function	A function within the object	1
Class Diagram	Association	A relationship between classes	JSON	Nested Object	An object nested within another object	1
Class Diagram	Multiplicity	Cardinality of an association	JSON	Array	A list of objects	1
Class Diagram	Inheritance	A class extending another class	JSON	Nested Object	An object inheriting from another object	0
Class Diagram	Class	A blueprint for objects	JSON	Array	A collection of objects	0
Class Diagram	Aggregation	A weak relationship between objects	JSON	Simple Object	An object without strong binding	0
Key-Value Store	Key	Unique identifier for a value	Column Store	Column Name	Identifier for a column in a row	0
Key-Value Store	Value	The data associated with a key	Column Store	Column Value	The data contained in a column	1
Key-Value Store	Collection	A set of key-value pairs	Column Store	Row	A set of column values	1
Key-Value Store	Key	A unique identifier	Column Store	Primary Key	A unique identifier for a row	0
Key-Value Store	Value	The data stored for a key	Column Store	Data Segment	A segment of stored data	1
Key-Value Store	Database	A collection of key-value pairs	Column Store	Table	A collection of rows	1
Key-Value Store	Key	Unique identifier for a value	Column Store	Row ID	Unique identifier for a row	1
JSON	Object	A collection of key-value pairs	NoSQL Document Store	Document	A collection of key-value pairs stored as a document	1
JSON	Key	Unique identifier for a value	NoSQL Document Store	Field	A key in a document representing a property	1
JSON	Array	A list of values	NoSQL Document Store	Array	A list of values in a document	1
JSON	String	A textual value	NoSQL Document Store	String	A textual value in a document	1
JSON	Object	A collection of key-value pairs	NoSQL Document Store	Collection	A set of documents	1
JSON	Key	Unique identifier for a value	NoSQL Document Store	Document ID	A unique identifier for a document	1
JSON	Object	A set of key-value pairs	NoSQL Document Store	Embedded Document	A nested document within another document	1
BPMN	Task	A unit of work in a process	State Machine	State	A condition or situation in the life of an object	1
BPMN	Sequence Flow	The flow between tasks	State Machine	Transition	The movement from one state to another	1
BPMN	Start Event	The initial point of a process	State Machine	Initial State	The starting point of an object’s lifecycle	1
BPMN	End Event	The final point of a process	State Machine	Final State	The final condition of an object	1
BPMN	Gateway	A decision point in the process	State Machine	Choice	A point where a decision is made	1
BPMN	Pool	Represents a participant	State Machine	State	Represents a particular condition in an object's lifecycle	0
BPMN	Message Flow	The flow of messages between participants	State Machine	Event	Something that happens in the system, causing a state change	1
BPMN	Intermediate Event	Events occurring between start and end events	State Machine	Event	A trigger that causes a state change	1
BPMN	Lane	A subdivision of a pool	State Machine	Substate	A specific, smaller state within another state	0
BPMN	Task	A unit of work	State Machine	Transition	The change from one state to another	0
BPMN	Data Object	A data element used within the process	State Machine	Data Store	Persistent storage for information related to states	1
BPMN	Sub-Process	A process within a process	State Machine	Composite State	A complex state containing multiple sub-states	1
ER Diagram	Entity	Represents a real-world object	UML Class Diagram	Class	A blueprint for objects with attributes and methods	1
ER Diagram	Attribute	A property of an entity	UML Class Diagram	Attribute	A property of a class	1
ER Diagram	Relationship	Connection between entities	UML Class Diagram	Association	A link between two or more classes	1
ER Diagram	Primary Key	Unique identifier for an entity	UML Class Diagram	Attribute	Represents unique data within a class	0
ER Diagram	Weak Entity	An entity that depends on another	UML Class Diagram	Aggregation	Represents a part-whole relationship	1
ER Diagram	Composite Attribute	Attribute that can be broken down into sub-attributes	UML Class Diagram	Aggregation	A part-whole relationship between objects	1
ER Diagram	Multivalued Attribute	Attribute that can have multiple values	UML Class Diagram	Attribute	A property of a class, not necessarily multivalued	0
ER Diagram	Derived Attribute	An attribute derived from others	UML Class Diagram	Method	A class function that derives a value	1
ER Diagram	Recursive Relationship	An entity related to itself	UML Class Diagram	Recursive Association	A class associated with itself	1
Relational DB	Table	A structured collection of rows and columns	Document DB	Document	A collection of key-value pairs stored together	1
Relational DB	Row	A single entry in a table	Document DB	Document	A set of key-value pairs	1
Relational DB	Column	A field within a table	Document DB	Field	A key-value pair inside a document	1
Relational DB	Primary Key	A unique identifier for a row	Document DB	Document ID	A unique identifier for a document	1
Relational DB	Foreign Key	A reference to a key in another table	Document DB	Embedded Document	A document embedded within another document	1
Relational DB	Join	A mechanism to combine data from multiple tables	Document DB	Lookup	A reference to another document within a document	1
Relational DB	Index	A data structure that improves query performance	Document DB	Index	A similar mechanism for improving query performance	1
Relational DB	Schema	The structure of the database	Document DB	Schema	Defines the structure and constraints of documents	1
Relational DB	Transaction	A series of operations performed as a single unit of work	Document DB	Transaction	A mechanism for ensuring multiple operations execute as a single unit	1
Relational DB	Normalization	Process of organizing data to reduce redundancy	Document DB	Denormalization	A strategy to optimize document retrieval speed at the cost of redundancy	0
XML	Element	A container for data	HTML	Tag	A container for content or structure	1
XML	Attribute	A property of an element	HTML	Attribute	A property applied to an HTML tag	1
XML	Text	Content within an element	HTML	Text Content	Content within a tag	1
XML	Namespace	Defines a scope for elements and attributes	HTML	None	No direct equivalent	0
XML	Self-Closing Tag	An element that does not require an explicit closing tag	HTML	Self-Closing Tag	Same structure for certain tags (e.g., <img />, <br />)	1
XML	CDATA	A block of text ignored by the parser	HTML	Script Tag	A tag for embedding code (e.g., JavaScript)	0
XML	Element	A generic data container	HTML	Div	A container for content in HTML	1
XML	Attribute	Provides metadata for an element	HTML	ID/Class	Identifies an element for styling or scripting	1
XML	Document	The entire structure of data	HTML	Document	Represents the entire HTML document structure	1
REST API	Resource	A piece of data that can be acted upon via HTTP	SOAP API	Service	A service exposed for consumption	1
REST API	GET	A method to retrieve data	SOAP API	Read Operation	A method to retrieve information from a service	1
REST API	POST	A method to send data to the server	SOAP API	Create Operation	A method to create new data	1
REST API	PUT	A method to update data on the server	SOAP API	Update Operation	A method to update existing data	1
REST API	DELETE	A method to delete data from the server	SOAP API	Delete Operation	A method to remove existing data	1
REST API	Endpoint	A specific URI where a resource is accessible	SOAP API	Endpoint	A URI where the service is exposed	1
REST API	JSON	A data format for requests and responses	SOAP API	XML	The primary data format for SOAP messages	1
REST API	Stateless	Each request is independent and contains all necessary data	SOAP API	Stateful	The server maintains the state of the conversation	0
REST API	Cacheable	Responses can be cached to improve performance	SOAP API	Cacheable	No caching mechanism by default	0
ER Diagram	Entity	Represents a real-world object	Key-Value Store	Key	The unique identifier for a value	0
ER Diagram	Attribute	A property of an entity	Key-Value Store	Value	The value associated with a key	1
ER Diagram	Primary Key	Unique identifier for an entity	Key-Value Store	Key	The unique key to retrieve a value	1
ER Diagram	Relationship	A connection between entities	Key-Value Store	None	No direct relationship mechanism	0
ER Diagram	Composite Attribute	Attribute that can be broken down	Key-Value Store	Value	Simple or complex structure	1
ER Diagram	Foreign Key	Refers to another entity	Key-Value Store	None	No concept of foreign keys	0
ER Diagram	Weak Entity	An entity dependent on another	Key-Value Store	None	No concept of weak entities	0
ER Diagram	Multivalued Attribute	Attribute that can hold multiple values	Key-Value Store	Value	A value can be an array or list	1
UML Sequence Diagram	Lifeline	Represents an object or entity involved in a process	BPMN	Pool	Represents a participant in the process	1
UML Sequence Diagram	Message	Represents communication between lifelines	BPMN	Message Flow	Communication between participants	1
UML Sequence Diagram	Activation	Time during which an object is active	BPMN	Task	A unit of work being executed	1
UML Sequence Diagram	Loop Fragment	A repeating sequence of interactions	BPMN	Loop Activity	A repeating process or sub-process	1
UML Sequence Diagram	Combined Fragment	Represents alternative, optional, or parallel scenarios	BPMN	Gateway	A decision point in the process	1
UML Sequence Diagram	Actor	An external participant interacting with the system	BPMN	External Participant	A participant outside the main process	1
UML Sequence Diagram	Synchronous Message	A message that requires a response	BPMN	Message Flow	Communication expecting a response	1
UML Sequence Diagram	Asynchronous Message	A message that does not require a response	BPMN	None	No direct asynchronous message concept	0
JSON	Key-Value Pair	The basic structure of data in JSON	Document Store	Document	A collection of key-value pairs	1
JSON	Object	A collection of key-value pairs	Document Store	Document	A document is analogous to a JSON object	1
JSON	Array	A list of values	Document Store	Embedded Array	A document can contain arrays of values	1
JSON	String	A textual value	Document Store	String Field	A string field in a document	1
JSON	Number	A numeric value	Document Store	Number Field	A numeric field in a document	1
JSON	Boolean	A boolean value (true/false)	Document Store	Boolean Field	A boolean field in a document	1
JSON	Null	Represents a null value	Document Store	Null Field	A null field in a document	1
JSON	Nested Object	An object within another object	Document Store	Embedded Document	A document can embed other documents	1
JSON	Schema-less	No fixed schema required	Document Store	Schema-less	Document stores are schema-less	1
Column Store	Column	A column-based storage format	Relational Database	Column	A column in a relational table	1
Column Store	Row Group	A group of rows stored together	Relational Database	Row	A row in a relational table	1
Column Store	Compression	Columns are often compressed for efficiency	Relational Database	Index	Indexes can be compressed to improve performance	1
Column Store	Schema-less	No strict schema is required	Relational Database	Schema	A strict schema defines the structure of data	0
Column Store	Distributed Storage	Data is distributed across multiple nodes	Relational Database	Centralized Storage	Data is often stored in a single location	0
Column Store	Column-oriented Query	Queries are optimized for columnar storage	Relational Database	Row-oriented Query	Queries are optimized for row-based storage	0
Column Store	Aggregation Optimized	Column stores are optimized for aggregating large datasets	Relational Database	Aggregation Optimized	Aggregation can be done, but it's not optimized	0
Column Store	Column Family	A group of columns related by their key	Relational Database	Table	A collection of rows and columns	0
XMI	Class	Represents a class in a model	RDF	Subject	Represents a resource in an RDF triple	1
XMI	Attribute	A property of a class	RDF	Predicate	The property of an RDF resource	1
XMI	Association	A relationship between classes	RDF	Object	The object of an RDF triple, representing a linked resource	1
XMI	Generalization	Represents inheritance between classes	RDF	rdfs	Defines a hierarchical relationship between resources	1
XMI	Multiplicity	Specifies how many instances are involved in a relationship	RDF	None	No direct concept of multiplicity	0
XMI	Operation	Defines a function within a class	RDF	None	No direct concept of operations	0
XMI	Dependency	A usage relationship between classes	RDF	None	No direct concept of dependencies	0
XMI	Package	A group of related classes	RDF	rdf	A collection of resources	1
ER Diagram	Entity	A distinct object or concept in the model	Column Store	Column Family	A collection of columns with a shared key	0
ER Diagram	Attribute	A property of an entity	Column Store	Column	A single piece of data organized by column	1
ER Diagram	Relationship	A connection between two entities	Column Store	None	No direct representation of relationships	0
ER Diagram	Primary Key	Unique identifier for an entity	Column Store	Row Key	Key to access a specific row	1
ER Diagram	Foreign Key	Refers to another entity's primary key	Column Store	None	No concept of foreign keys	0
ER Diagram	Composite Key	A key made of multiple attributes	Column Store	None	No support for composite keys	0
ER Diagram	Multivalued Attribute	An attribute that can have multiple values	Column Store	None	No direct concept of multivalued attributes	0
ER Diagram	Weak Entity	Entity dependent on another entity	Column Store	None	No representation of dependent entities	0
Document Store	Document	A collection of key-value pairs	Relational Database	Table	A structured collection of rows and columns	0
Document Store	Key-Value Pair	The basic unit of data	Relational Database	Column	A single field in a table	1
Document Store	Embedded Document	A document within another document	Relational Database	None	No support for embedding tables	0
Document Store	Index	A secondary structure to optimize queries	Relational Database	Index	An auxiliary structure to speed up access	1
Document Store	Schema-less	No strict schema required	Relational Database	Schema	A strict definition of the data structure	0
Document Store	JSON Format	Uses JSON for data representation	Relational Database	SQL Format	Uses SQL for querying and structuring data	0
Document Store	Flexible Data Types	Data types can vary across documents	Relational Database	Fixed Data Types	Data types are predefined	0
UML Class Diagram	Class	Represents a blueprint of objects	ER Diagram	Entity	A real-world concept or object	1
UML Class Diagram	Attribute	A property or characteristic of a class	ER Diagram	Attribute	A property or characteristic of an entity	1
UML Class Diagram	Operation	A function or behavior of a class	ER Diagram	None	No direct equivalent for operations	0
UML Class Diagram	Association	A relationship between two classes	ER Diagram	Relationship	A relationship between two entities	1
UML Class Diagram	Generalization	Represents inheritance	ER Diagram	None	No inheritance in ER diagrams	0
UML Class Diagram	Dependency	A usage relationship between classes	ER Diagram	None	No dependency concept	0
UML Class Diagram	Multiplicity	Defines cardinality in relationships	ER Diagram	Cardinality	Defines how many instances are involved	1
NoSQL	Document	A collection of key-value pairs	Relational Database	Table	A structured collection of rows and columns	0
NoSQL	Key-Value Pair	The basic unit of data	Relational Database	Column	A single field in a table	1
NoSQL	Partition	Logical grouping of data	Relational Database	Table Partition	Subset of a table split for performance	1
NoSQL	Schema-less	No strict schema required	Relational Database	Schema	A strict definition of the data structure	0
NoSQL	Index	A secondary structure to optimize queries	Relational Database	Index	Auxiliary structure to speed up access	1
NoSQL	Distributed Storage	Data is distributed across multiple nodes	Relational Database	Centralized Storage	Data is often stored in a single location	0
NoSQL	Denormalized Data	Data is often stored in a denormalized form	Relational Database	Normalized Data	Data is normalized to avoid redundancy	0
NoSQL	Horizontal Scaling	Can scale horizontally across many servers	Relational Database	Vertical Scaling	Scaling by increasing server power	0
XML	Element	Represents a node in the XML hierarchy	Key-Value Store	Key	A unique identifier for a value	0
XML	Attribute	A property of an XML element	Key-Value Store	Value	A value associated with a key	1
XML	Namespace	Defines a scope for XML elements and attributes	Key-Value Store	None	No equivalent concept	0
XML	Document	The entire XML structure	Key-Value Store	None	No document-like structure	0
XML	Nested Elements	Elements within other elements	Key-Value Store	None	No direct concept of nested structures	0
XML	Text Content	The text value within an element	Key-Value Store	Value	A value in a key-value pair	1
XML	Schema Validation	XML can be validated against a schema	Key-Value Store	None	No schema validation required	0
UML Use Case	Actor	An external entity interacting with the system	BPMN	Pool	Represents a participant in a process	1
UML Use Case	Use Case	A functional requirement of the system	BPMN	Task	A specific task in a process	1
UML Use Case	Association	A relationship between actors and use cases	BPMN	SequenceFlow	Flow of control between tasks	1
UML Use Case	Include	A use case that includes another use case	BPMN	Sub-Process	A task that calls another process	1
UML Use Case	Extend	A use case that extends another	BPMN	None	No equivalent for extending a process	0
UML Use Case	Generalization	Inheritance between actors	BPMN	None	No concept of actor inheritance	0
UML Use Case	System Boundary	Defines the scope of the system	BPMN	None	No direct equivalent for system boundary	0
UML Use Case	Preconditions	Conditions that must be true before the use case executes	BPMN	None	No concept of preconditions	0
Object-Oriented Model	Class	Blueprint for creating objects	Relational Database	Table	Structured collection of rows and columns	1
Object-Oriented Model	Object	Instance of a class	Relational Database	Row	Single record within a table	1
Object-Oriented Model	Attribute	A property of a class	Relational Database	Column	A field in a table	1
Object-Oriented Model	Method	Behavior or function of a class	Relational Database	None	No concept of method	0
Object-Oriented Model	Inheritance	Class hierarchy based on inheritance	Relational Database	None	No equivalent concept	0
Object-Oriented Model	Association	Relationship between objects	Relational Database	Foreign Key	Links between tables	1
Object-Oriented Model	Composition	Strong relationship between objects	Relational Database	None	No direct equivalent	0
Object-Oriented Model	Aggregation	Weak relationship between objects	Relational Database	None	No direct equivalent	0
REST API	Resource	The object that is acted upon	SOAP API	Service	An operation provided by the service	1
REST API	GET Method	Retrieves data from a resource	SOAP API	Read Operation	Operation to retrieve data	1
REST API	POST Method	Sends data to a resource	SOAP API	Create Operation	Operation to send or create data	1
REST API	PUT Method	Updates an existing resource	SOAP API	Update Operation	Operation to update an existing record	1
REST API	DELETE Method	Deletes a resource	SOAP API	Delete Operation	Operation to remove data	1
REST API	Stateless	No client session data maintained	SOAP API	Stateful	Session-based service	0
REST API	JSON	Uses JSON for data formatting	SOAP API	XML	Uses XML for data formatting	0
UML Component Diagram	Component	A modular part of the system	Microservices Architecture	Microservice	A small, independent service	1
UML Component Diagram	Interface	Contract that a component provides	Microservices Architecture	API	Interface through which services communicate	1
UML Component Diagram	Dependency	Indicates that one component uses another	Microservices Architecture	None	No direct representation of dependencies	0
UML Component Diagram	Port	Interaction point of a component	Microservices Architecture	Endpoint	Communication endpoint for services	1
UML Component Diagram	Connector	Links components through interfaces	Microservices Architecture	API Gateway	A gateway to connect various microservices	1
UML Component Diagram	Package	Groups related components	Microservices Architecture	Service Group	A collection of microservices	1
BPMN	Task	A single unit of work	Workflow Nets	Transition	A point in the process where tasks change	1
BPMN	Sequence Flow	The flow between tasks	Workflow Nets	Arc	Connection between transitions	1
BPMN	Start Event	The beginning of the process	Workflow Nets	Place	A state in the process	0
BPMN	End Event	The end of the process	Workflow Nets	Final Place	A final state in the process	1
BPMN	Exclusive Gateway	A decision point based on conditions	Workflow Nets	Transition	A decision point	1
BPMN	Parallel Gateway	A decision point for parallel tasks	Workflow Nets	None	No parallelism	0
ER Diagram	Entity	A distinct object or concept	Object-Oriented Database	Class	Blueprint for creating objects	1
ER Diagram	Attribute	A property of an entity	Object-Oriented Database	Attribute	A property of a class	1
ER Diagram	Primary Key	Unique identifier for an entity	Object-Oriented Database	Object ID	Unique identifier for an object	1
ER Diagram	Relationship	Connection between two entities	Object-Oriented Database	Association	Relationship between two objects	1
ER Diagram	Weak Entity	Entity dependent on another entity	Object-Oriented Database	None	No concept of weak entities	0
ER Diagram	Composite Key	A key made of multiple attributes	Object-Oriented Database	None	No concept of composite keys	0
Column Store	Column Family	Group of columns under a shared key	Key-Value Store	Key	Unique identifier for a value	1
Column Store	Column	A single data field in the column family	Key-Value Store	Value	A value associated with a key	1
Column Store	Row Key	Key to access a specific row	Key-Value Store	Key	Key for retrieving data	1
Column Store	Index	Structure for optimizing queries	Key-Value Store	None	No equivalent concept	0
Column Store	Partition	Division of data for distribution	Key-Value Store	None	No equivalent concept	0
Column Store	Denormalized Data	Data often stored in a denormalized format	Key-Value Store	Flexible Structure	No strict structure for data storage	1
UML State Machine	State	Represents a state of an object	BPMN	Activity	A task in a process	1
UML State Machine	Transition	Move from one state to another	BPMN	Sequence Flow	Flow between tasks	1
UML State Machine	Initial State	The starting point of a state machine	BPMN	Start Event	The start of the process	1
UML State Machine	Final State	The ending point of a state machine	BPMN	End Event	The end of the process	1
UML State Machine	Event	An occurrence that triggers a transition	BPMN	Event	An occurrence that triggers an activity	1
UML State Machine	Guard Condition	A condition that must be true for transition	BPMN	Gateway	Decision point based on conditions	1
UML State Machine	Internal Action	A behavior executed while in a state	BPMN	None	No direct equivalent	0
ER Diagram	Entity	A distinct object in the model	Document Store	Document	A JSON or BSON document	1
ER Diagram	Attribute	Property of an entity	Document Store	Field	A field in a document	1
ER Diagram	Primary Key	Unique identifier for an entity	Document Store	_id	The unique identifier of a document	1
ER Diagram	Relationship	Connection between two entities	Document Store	None	No direct equivalent	0
ER Diagram	Weak Entity	Entity dependent on another entity	Document Store	None	No concept of weak entities	0
ER Diagram	Foreign Key	Attribute that links to another entity	Document Store	Reference Field	Field that holds reference to another document	1
XML	Element	A node or tag in the XML document	JSON Schema	Property	A key-value pair in the JSON document	1
XML	Attribute	A characteristic of an element	JSON Schema	Attribute	Key-value pair stored in an object	1
XML	Text Content	Content within an element	JSON Schema	Value	The value assigned to a key	1
XML	Root Element	The outermost tag in an XML document	JSON Schema	Root Object	The outermost JSON object	1
XML	Namespace	Prefix that identifies the element's domain	JSON Schema	None	No equivalent	0
XML	Schema Definition	Specifies the structure of an XML document	JSON Schema	Schema Definition	Specifies the structure of a JSON document	1
Document Store	Document	A structured collection of fields	SQL	Table	Structured collection of rows and columns	1
Document Store	Field	A key-value pair inside a document	SQL	Column	A field in a table	1
Document Store	_id	Unique identifier for a document	SQL	Primary Key	Unique identifier for a row	1
Document Store	Collection	Group of documents	SQL	Table	Collection of rows	1
Document Store	Embedded Document	Nested document within another document	SQL	Foreign Key	Key linking related tables	0
Document Store	Index	Structure for optimizing query performance	SQL	Index	Structure for optimizing query performance	1
XML Schema	Element	Basic building block of XML structure	RDF	Subject	The entity in the RDF triple	1
XML Schema	Attribute	A property of an XML element	RDF	Predicate	The relationship or property in the triple	1
XML Schema	Data Type	Type for an element or attribute	RDF	Object	The object or value in the RDF triple	1
XML Schema	Complex Type	Collection of elements and attributes	RDF	Graph	Structured representation of RDF triples	0
XML Schema	Sequence	Ordered collection of elements	RDF	None	No direct equivalent of sequence	0
Object-Oriented Model	Class	Blueprint for creating objects	Document Store	Document	A structured set of fields	1
Object-Oriented Model	Attribute	A property of a class	Document Store	Field	Key-value pair within a document	1
Object-Oriented Model	Object	Instance of a class	Document Store	Document	A record with values	1
Object-Oriented Model	Method	Functionality encapsulated in a class	Document Store	None	No equivalent concept	0
Object-Oriented Model	Association	Relationship between objects	Document Store	Reference Field	Field referencing another document	1
